,Month,DayofMonth,DayOfWeek,CRSDepTime,UniqueCarrier,Class
528,1,3,4,1530,WN,0
530,1,3,4,1120,WN,1
531,1,3,4,2125,WN,1
532,1,3,4,1700,WN,0
533,1,3,4,1230,WN,0
534,1,3,4,640,WN,1
535,1,3,4,1635,WN,0
536,1,3,4,2025,WN,0
537,1,3,4,1045,WN,1
539,1,3,4,755,WN,1
540,1,3,4,1430,WN,0
541,1,3,4,1850,WN,0
543,1,3,4,1450,WN,0
544,1,3,4,2020,WN,0
546,1,3,4,1835,WN,0
549,1,3,4,805,WN,0
550,1,3,4,1440,WN,0
551,1,3,4,1030,WN,1
552,1,3,4,1810,WN,0
553,1,3,4,1245,WN,0
555,1,3,4,1955,WN,1
556,1,3,4,1300,WN,1
558,1,3,4,1300,WN,1
560,1,3,4,1030,WN,0
562,1,3,4,715,WN,1
563,1,3,4,1655,WN,0
564,1,3,4,1255,WN,0
565,1,3,4,1015,WN,0
568,1,3,4,1715,WN,0
569,1,3,4,630,WN,0
570,1,3,4,650,WN,1
572,1,3,4,1910,WN,0
576,1,3,4,720,WN,0
577,1,3,4,1710,WN,0
578,1,3,4,1755,WN,0
579,1,3,4,1335,WN,0
580,1,3,4,1500,WN,1
581,1,3,4,1025,WN,0
583,1,3,4,1110,WN,0
585,1,3,4,1910,WN,0
586,1,3,4,1330,WN,1
587,1,3,4,1525,WN,1
589,1,3,4,1055,WN,0
590,1,3,4,1625,WN,0
591,1,3,4,2055,WN,0
592,1,3,4,1850,WN,0
594,1,3,4,950,WN,0
596,1,3,4,1700,WN,1
597,1,3,4,615,WN,0
598,1,3,4,1420,WN,0
599,1,3,4,1040,WN,0
600,1,3,4,1740,WN,0
601,1,3,4,2045,WN,0
602,1,3,4,800,WN,0
603,1,3,4,1220,WN,0
605,1,3,4,1840,WN,0
606,1,3,4,2030,WN,0
607,1,3,4,1550,WN,1
610,1,3,4,1840,WN,0
611,1,3,4,1355,WN,1
612,1,3,4,1610,WN,1
613,1,3,4,1015,WN,0
614,1,3,4,1155,WN,0
615,1,3,4,1620,WN,0
616,1,3,4,630,WN,1
617,1,3,4,1705,WN,0
618,1,3,4,1805,WN,1
619,1,3,4,615,WN,1
620,1,3,4,935,WN,0
624,1,3,4,2105,WN,0
626,1,3,4,1745,WN,0
627,1,3,4,630,WN,1
628,1,3,4,2045,WN,0
631,1,3,4,735,WN,0
633,1,3,4,1920,WN,0
634,1,3,4,945,WN,0
635,1,3,4,1500,WN,0
636,1,3,4,1715,WN,0
637,1,3,4,1415,WN,1
638,1,3,4,1115,WN,0
640,1,3,4,1250,WN,0
643,1,3,4,1620,WN,0
644,1,3,4,2035,WN,0
646,1,3,4,1225,WN,1
651,1,3,4,635,WN,0
654,1,3,4,2000,WN,1
655,1,3,4,955,WN,0
656,1,3,4,1540,WN,0
657,1,3,4,955,WN,0
658,1,3,4,2105,WN,0
659,1,3,4,1315,WN,0
660,1,3,4,1755,WN,0
662,1,3,4,1505,WN,0
663,1,3,4,945,WN,0
664,1,3,4,1425,WN,0
665,1,3,4,1250,WN,0
666,1,3,4,745,WN,1
667,1,3,4,2035,WN,0
668,1,3,4,1535,WN,0
670,1,3,4,1550,WN,1
671,1,3,4,1020,WN,0
672,1,3,4,1925,WN,0
673,1,3,4,745,WN,1
674,1,3,4,1905,WN,1
675,1,3,4,1900,WN,1
677,1,3,4,1350,WN,1
678,1,3,4,1015,WN,0
679,1,3,4,1945,WN,1
680,1,3,4,1755,WN,0
682,1,3,4,800,WN,1
683,1,3,4,1210,WN,1
684,1,3,4,1540,WN,1
685,1,3,4,2035,WN,0
687,1,3,4,2110,WN,0
688,1,3,4,615,WN,1
689,1,3,4,820,WN,0
690,1,3,4,1255,WN,0
691,1,3,4,1955,WN,1
692,1,3,4,1950,WN,1
693,1,3,4,1300,WN,0
694,1,3,4,1515,WN,0
695,1,3,4,1715,WN,0
696,1,3,4,850,WN,1
697,1,3,4,1035,WN,0
698,1,3,4,2125,WN,0
700,1,3,4,1825,WN,0
701,1,3,4,2105,WN,1
702,1,3,4,820,WN,1
703,1,3,4,1135,WN,0
704,1,3,4,1410,WN,0
706,1,3,4,1600,WN,1
708,1,3,4,2000,WN,1
709,1,3,4,2135,WN,0
711,1,3,4,615,WN,1
712,1,3,4,1620,WN,0
713,1,3,4,1325,WN,1
714,1,3,4,1730,WN,1
715,1,3,4,2025,WN,0
716,1,3,4,1220,WN,0
717,1,3,4,930,WN,1
718,1,3,4,630,WN,0
719,1,3,4,1425,WN,0
720,1,3,4,1705,WN,1
721,1,3,4,1200,WN,1
722,1,3,4,800,WN,1
723,1,3,4,1825,WN,1
724,1,3,4,1610,WN,0
725,1,3,4,955,WN,0
726,1,3,4,1405,WN,0
728,1,3,4,2125,WN,0
729,1,3,4,1305,WN,0
730,1,3,4,1735,WN,0
731,1,3,4,925,WN,0
732,1,3,4,1955,WN,0
733,1,3,4,630,WN,0
734,1,3,4,640,WN,0
735,1,3,4,2015,WN,0
736,1,3,4,820,WN,0
737,1,3,4,1415,WN,0
738,1,3,4,1115,WN,1
739,1,3,4,1710,WN,0
740,1,3,4,2110,WN,0
742,1,3,4,1405,WN,0
744,1,3,4,1915,WN,1
745,1,3,4,640,WN,1
746,1,3,4,1655,WN,0
747,1,3,4,2105,WN,0
748,1,3,4,1255,WN,1
749,1,3,4,715,WN,1
750,1,3,4,905,WN,0
751,1,3,4,1550,WN,1
752,1,3,4,1245,WN,0
753,1,3,4,1845,WN,0
754,1,3,4,1845,WN,0
755,1,3,4,730,WN,0
756,1,3,4,2100,WN,0
757,1,3,4,1705,WN,0
758,1,3,4,1030,WN,1
759,1,3,4,1550,WN,0
760,1,3,4,2005,WN,0
761,1,3,4,1200,WN,0
762,1,3,4,615,WN,0
763,1,3,4,740,WN,1
764,1,3,4,1500,WN,0
765,1,3,4,830,WN,0
766,1,3,4,1925,WN,0
767,1,3,4,1430,WN,1
769,1,3,4,655,WN,0
770,1,3,4,2100,WN,0
771,1,3,4,1500,WN,0
772,1,3,4,1140,WN,0
773,1,3,4,1400,WN,0
774,1,3,4,1735,WN,0
775,1,3,4,1500,WN,1
776,1,3,4,715,WN,0
777,1,3,4,1040,WN,0
778,1,3,4,1720,WN,1
779,1,3,4,1245,WN,0
780,1,3,4,2135,WN,0
781,1,3,4,845,WN,0
782,1,3,4,925,WN,0
784,1,3,4,1935,WN,0
786,1,3,4,1505,WN,0
787,1,3,4,1620,WN,0
788,1,3,4,1300,WN,0
789,1,3,4,615,WN,1
790,1,3,4,2005,WN,0
791,1,3,4,1400,WN,1
792,1,3,4,805,WN,0
793,1,3,4,1020,WN,0
794,1,3,4,1710,WN,1
795,1,3,4,1935,WN,0
796,1,3,4,2015,WN,1
797,1,3,4,635,WN,1
798,1,3,4,1805,WN,0
799,1,3,4,1345,WN,0
800,1,3,4,1040,WN,0
801,1,3,4,1400,WN,1
802,1,3,4,905,WN,1
803,1,3,4,1155,WN,0
